,zip,category
180,91205.0,2.088709677419355
181,91206.0,2.6567460317460316
182,91207.0,3.2229038854805725
183,91208.0,3.3496143958868894
184,91210.0,3.8333333333333335
185,91214.0,3.146170063246662
186,91301.0,3.3511572226656026
187,91302.0,3.570124481327801
188,91303.0,2.042604501607717
189,91304.0,2.4474370112945265
190,91306.0,2.2651831247102456
191,91307.0,3.1224662162162162
192,91311.0,2.849676724137931
193,91316.0,2.9749821300929233
194,91320.0,3.2285714285714286
195,91321.0,2.4547206165703277
196,91324.0,2.5324283559577676
197,91325.0,2.5258785942492015
198,91326.0,3.2683649289099526
199,91331.0,1.8820173436786856
200,91335.0,2.1438953488372094
201,91340.0,1.976063829787234
202,91342.0,2.2548877624909487
203,91343.0,2.228428351309707
204,91344.0,2.7838270616493195
