,zip,income
345,92081,66397
346,92082,81857
347,92083,56215
348,92084,61584
349,92086,33173
350,92101,60417
351,92102,44801
352,92103,74523
353,92104,59202
354,92105,40272
355,92106,99250
356,92107,77631
357,92108,69008
358,92109,72945
359,92110,65211
360,92111,65098
361,92113,33125
362,92114,61430
363,92115,47536
364,92116,64959
365,92117,71472
366,92118,99641
367,92119,79121
368,92120,88202
369,92121,103953
370,92122,76872
371,92123,73272
372,92124,86068
373,92126,92061
374,92127,127227
375,92128,94925
376,92129,120279
377,92130,141926
378,92131,125035
379,92135,0
380,92139,60656
381,92154,63638
382,92173,38911
383,92201,42329
384,92203,67878
385,92210,103365
386,92211,60531
387,92220,40055
388,92223,68739
389,92227,44127
390,92231,37703
391,92233,35347
392,92234,43423
393,92236,34463
394,92240,35879
395,92241,30658
396,92242,29714
397,92243,43842
398,92249,46786
399,92250,51758
400,92251,83909
401,92252,38405
402,92253,78228
403,92254,26830
404,92258,0
405,92259,30114
406,92260,53750
407,92262,47840
408,92264,47679
409,92268,39234
410,92270,64754
411,92274,29330
412,92275,30259
413,92276,41302
414,92277,39466
415,92278,51528
416,92281,35536
417,92283,27000
418,92284,42723
419,92285,28650
420,92301,33919
421,92305,63594
422,92307,56579
423,92308,45585
424,92309,38977
425,92310,50621
426,92311,41757
427,92313,65565
428,92314,51333
429,92316,53648
430,92321,73311
431,92324,48578
432,92325,57118
433,92327,35905
434,92328,29605
435,92335,47226
436,92336,87744
437,92337,76046
438,92339,65167
439,92341,0
440,92342,72872
441,92344,80230
442,92345,46696
443,92346,60732
444,92347,43750
445,92352,73875
446,92354,54877
447,92356,27708
448,92358,41635
449,92359,56590
450,92365,54630
451,92368,33300
452,92371,53545
453,92372,52206
454,92373,65403
455,92374,67606
456,92376,50359
457,92377,77094
458,92378,76538
459,92382,59547
460,92385,41635
461,92386,30455
462,92391,48063
463,92392,58063
464,92394,48730
465,92395,43395
466,92397,62118
467,92398,61055
468,92399,58570
469,92401,23043
470,92404,42051
471,92405,38762
472,92407,56819
473,92408,38949
474,92410,27383
475,92411,37266
476,92501,55192
477,92503,62998
478,92504,60211
479,92505,62232
480,92506,87190
481,92507,44912
482,92508,103942
483,92509,63719
484,92518,67365
485,92530,51922
486,92532,84173
487,92536,55433
488,92539,42598
489,92543,31447
490,92544,46375
491,92545,44166
492,92548,41332
493,92549,64068
494,92553,48329
495,92555,81104
496,92557,67121
497,92561,80964
498,92562,81500
499,92563,86580
500,92567,61023
501,92570,47696
502,92571,56921
503,92582,61667
504,92583,41169
505,92584,85527
506,92585,65188
507,92586,36887
508,92587,71838
509,92590,69643
510,92591,77234
511,92592,99049
512,92595,69805
513,92596,97713
514,92602,103367
515,92603,120915
516,92604,97901
517,92606,92554
518,92610,128050
519,92612,75556
520,92614,93410
521,92617,41361
522,92618,103758
523,92625,139561
524,92626,85662
525,92627,64454
526,92629,90078
527,92630,87059
528,92637,40837
529,92646,94205
530,92647,77761
531,92648,91410
532,92649,91398
533,92651,120302
534,92653,101327
535,92656,105964
536,92657,215000
537,92660,118971
538,92661,102279
539,92662,97591
540,92663,102017
541,92672,77733
542,92673,144331
543,92675,82532
544,92676,100282
545,92677,98743
546,92678,81354
547,92679,153053
548,92683,57546
549,92688,103215
550,92691,106581
551,92692,108252
552,92694,154384
553,92701,41934
554,92703,52970
555,92704,63056
556,92705,94194
557,92706,58648
558,92707,65919
559,92708,85536
560,92780,67057
561,92782,106125
562,92801,54476
563,92802,54414
564,92804,55736
565,92805,59934
566,92806,66372
567,92807,104530
568,92808,121250
569,92821,86070
570,92823,138831
571,92831,64218
572,92832,61493
573,92833,73162
574,92835,98415
575,92840,64782
576,92841,57763
577,92843,56274
578,92844,56836
579,92845,98074
580,92860,92199
581,92861,143077
582,92865,97871
583,92866,70814
584,92867,87388
585,92868,62856
586,92869,96417
587,92870,88610
588,92879,61783
589,92880,100175
590,92881,94498
591,92882,70235
592,92883,99231
593,92886,119528
594,92887,133542
595,93001,62407
596,93003,74012
597,93004,80726
598,93010,90260
599,93012,102756
600,93013,72791
601,93015,62819
602,93021,101627
603,93022,73015
604,93023,71661
605,93030,64552
606,93033,57829
607,93035,85363
608,93036,65374
609,93040,48750
610,93041,62032
611,93060,56478
612,93063,86667
613,93065,97485
614,93066,92417
615,93067,64904
616,93101,54360
617,93103,83342
618,93105,88671
619,93108,134667
620,93109,97759
621,93110,81375
622,93111,107577
623,93117,61892
624,93202,47753
625,93203,37191
626,93204,34638
627,93205,23684
628,93206,36224
629,93210,53976
630,93212,36875
631,93215,39032
632,93218,26964
633,93219,27941
634,93221,51408
635,93222,60833
636,93223,37571
637,93225,40296
638,93226,64286
639,93230,54697
640,93234,25461
641,93235,29898
642,93238,62963
643,93239,54830
644,93240,35783
645,93241,35872
646,93243,38750
647,93245,54508
648,93247,33507
649,93249,34464
650,93250,35738
651,93252,33611
652,93254,44886
653,93256,29173
654,93257,39645
655,93261,25169
656,93263,41173
657,93265,59556
658,93267,31959
659,93268,45128
660,93270,38322
661,93271,63424
662,93272,33995
663,93274,49209
664,93277,55680
665,93280,36565
666,93283,31071
667,93285,43846
668,93286,41070
669,93291,51054
670,93292,51556
671,93301,35561
672,93305,31608
673,93306,52512
674,93307,36886
675,93308,44410
676,93309,48742
677,93311,92188
678,93312,94308
679,93313,72169
680,93314,105414
681,93401,59160
682,93402,73158
683,93405,44464
684,93420,77887
685,93422,75169
686,93424,78182
687,93427,77140
688,93428,66731
689,93430,61151
690,93432,76250
691,93433,61482
692,93434,44000
693,93436,55794
694,93437,63364
695,93440,65608
696,93441,102500
697,93442,62806
698,93444,79683
699,93445,56250
700,93446,65486
701,93449,77316
702,93450,32969
703,93451,61521
704,93452,0
705,93453,50788
706,93454,57573
707,93455,78007
708,93458,49426
709,93460,92618
710,93461,58214
711,93463,76850
712,93465,80894
713,93501,33768
714,93505,45196
715,93510,92727
716,93513,57500
717,93514,55208
718,93516,42188
719,93517,49034
720,93518,32750
721,93523,62937
722,93526,46591
723,93527,71904
724,93529,53482
725,93531,73889
726,93532,57667
727,93534,37883
728,93535,42978
729,93536,72634
730,93541,0
731,93545,41583
732,93546,63848
733,93550,39279
734,93551,87628
735,93552,60612
736,93553,58105
737,93555,60000
738,93560,55526
739,93561,63042
740,93562,33333
741,93591,44487
742,93601,56455
743,93602,65136
744,93604,81036
745,93608,34408
746,93609,44068
747,93610,41234
748,93611,84028
749,93614,60101
750,93615,34737
751,93618,41003
752,93619,115392
753,93620,40738
754,93621,53661
755,93622,42965
756,93625,53793
757,93626,83958
758,93630,46610
759,93631,63884
760,93635,46967
761,93636,80179
762,93638,37682
763,93640,27771
764,93641,2500
765,93643,53889
766,93644,49034
767,93646,26434
768,93647,30987
769,93648,31653
770,93650,36106
771,93651,100952
772,93654,44151
773,93656,49530
774,93657,51209
775,93660,28500
776,93662,42027
777,93664,110833
778,93667,64856
779,93668,38162
780,93669,36667
781,93673,37031
782,93675,70275
783,93701,17371
784,93702,25517
785,93703,27873
786,93704,55918
787,93705,35009
788,93706,30176
789,93710,47723
790,93711,71028
791,93720,80223
792,93721,25056
793,93722,54137
794,93723,71861
795,93725,41288
796,93726,34295
797,93727,50781
798,93728,34887
799,93730,118487
800,93901,58092
801,93905,45962
802,93906,61192
803,93907,73226
804,93908,127070
805,93920,53125
806,93921,88065
807,93923,92778
808,93924,96458
809,93925,55729
810,93926,52298
811,93927,51987
812,93928,0
813,93930,42614
814,93933,61300
815,93940,77240
816,93950,81000
817,93953,130833
818,93955,57667
819,93960,54775
820,93962,90658
821,94002,125546
822,94005,109632
823,94010,135283
824,94014,85622
825,94015,86940
826,94019,119832
827,94020,92386
828,94022,208984
829,94024,220970
830,94025,139833
831,94028,244671
832,94030,109813
833,94037,104607
834,94038,136328
835,94040,120028
836,94041,121650
837,94043,118355
838,94060,0
839,94061,99230
840,94062,146450
841,94063,64720
842,94065,160313
843,94066,94657
844,94070,153291
845,94080,92089
846,94085,103595
847,94086,118576
848,94087,137652
849,94089,101869
850,94102,33552
851,94103,49052
852,94104,48429
853,94105,199364
854,94107,143467
855,94108,55341
856,94109,79979
857,94110,109747
858,94111,99464
859,94112,82692
860,94114,143902
861,94115,103625
862,94116,101746
863,94117,132979
864,94118,102021
865,94121,87001
866,94122,102838
867,94123,134809
868,94124,55823
869,94127,151094
870,94128,0
871,94129,190167
872,94130,52143
873,94131,119924
874,94132,72970
875,94133,66422
876,94134,71352
877,94158,133981
878,94301,146488
879,94303,98361
880,94304,103648
881,94305,61173
882,94306,125553
883,94401,81608
884,94402,140186
885,94403,112935
886,94404,134056
887,94501,81626
888,94502,122368
889,94503,91802
890,94505,114886
891,94506,186378
892,94507,202336
893,94508,80795
894,94509,58823
895,94510,95291
896,94511,36167
897,94513,96827
898,94514,72875
899,94515,68603
900,94517,140361
901,94518,84896
902,94520,52082
903,94521,94637
904,94523,100889
905,94526,141761
906,94530,96192
907,94531,93466
908,94533,62612
909,94534,105033
910,94535,60741
911,94536,112587
912,94538,101065
913,94539,160542
914,94541,67819
915,94542,103018
916,94544,70207
