,acaibowls,asianfusion,bakeries,breakfast_brunch,bubbletea,cafes,coffee,cupcakes,desserts,french,gluten_free,greek,indpak,italian,japanese,mediterranean,mideastern,newamerican,persian,pizza,salad,sandwiches,seafood,sushi,thai,turkish,vegetarian,vietnamese,wine_bars,salvadoran,price_1_percentage,price_2_percentage,price_3_percentage,price_4_percentage,rate_1_percentage,rate_1.5_percentage,rate_2_percentage,rate_2.5_percentage,rate_3_percentage,rate_3.5_percentage,rate_4_percentage,rate_4.5_percentage,rate_5_percentage,zip_code,count,latitude,longitude,income,city
105,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0.21212121212121213,0.7575757575757576,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.5757575757575758,0.2727272727272727,0.030303030303030304,90405,66,34.012028318543145,-118.47135119863613,88445,Santa Monica
106,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0.4025974025974026,0.5324675324675324,0.06493506493506493,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.16883116883116883,0.5194805194805194,0.2597402597402597,0.025974025974025976,90501,77,33.82925321124497,-118.31187324272932,64995,Los Angeles
107,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.0,90502,11,33.82993523419368,-118.29250826186576,68676,Torrance
108,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0.41818181818181815,0.5818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.21818181818181817,0.4909090909090909,0.16363636363636364,0.01818181818181818,90503,55,33.8367838580672,-118.35301527154527,84615,Torrance
109,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.43478260869565216,0.5217391304347826,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.391304347826087,0.34782608695652173,0.043478260869565216,90504,23,33.871402027021325,-118.32620496058941,79352,Torrance
110,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0.25,0.7375,0.0125,0.0,0.0,0.0,0.0,0.0,0.025,0.175,0.5875,0.1875,0.025,90505,80,33.804223649058216,-118.34055162686052,91569,Torrance
111,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0.40476190476190477,0.5714285714285714,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.42857142857142855,0.40476190476190477,0.047619047619047616,90601,42,33.985500459854634,-118.04135485438931,69740,Whittier
112,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.5185185185185185,0.37037037037037035,0.0,90602,27,33.973228518283925,-118.04239748367563,48427,Los Angeles
113,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0.23529411764705882,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.20588235294117646,0.47058823529411764,0.2647058823529412,0.0,90603,34,33.94231287824428,-117.99220040600979,95354,Whittier
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,90604,7,33.93286870807985,-118.01612033574402,66974,Whittier
115,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0.45,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.65,0.15,0.0,90605,20,33.95251079403116,-118.02953200514557,66963,Whittier
116,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.6363636363636364,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.0,90606,11,33.9723623140239,-118.06812527194538,66566,Whittier
117,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0.37142857142857144,0.5428571428571428,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.11428571428571428,0.5428571428571428,0.3142857142857143,0.0,90620,35,33.84385769893701,-118.0072136156478,84942,Buena Park
118,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0.2987012987012987,0.6883116883116883,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.23376623376623376,0.45454545454545453,0.2857142857142857,0.0,90621,77,33.872748291747605,-117.99657427899857,58639,Buena Park
119,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0.6190476190476191,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.19047619047619047,0.3333333333333333,0.38095238095238093,0.0,90623,21,33.8504233031799,-118.04098227909022,91131,La Palma
120,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0.4915254237288136,0.5084745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2033898305084746,0.3898305084745763,0.3728813559322034,0.03389830508474576,90630,59,33.81736644635089,-118.03532785349657,90165,Cypress
121,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0.5106382978723404,0.46808510638297873,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.3829787234042553,0.48936170212765956,0.02127659574468085,90631,47,33.933128209314546,-117.95395876652769,76910,La Habra
122,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0.5172413793103449,0.4482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.4482758620689655,0.27586206896551724,0.10344827586206896,90638,29,33.90659294700941,-118.00899213898128,86141,La Mirada
