,STATE,zipcode
14130,CA,93314
14136,CA,93401
14142,CA,93402
14148,CA,93405
14154,CA,93420
14160,CA,93422
14166,CA,93424
14178,CA,93427
14184,CA,93428
14190,CA,93430
14196,CA,93432
14202,CA,93433
14208,CA,93434
14214,CA,93436
14220,CA,93437
14226,CA,93440
14232,CA,93441
14238,CA,93442
14244,CA,93444
14250,CA,93445
14256,CA,93446
14262,CA,93449
14268,CA,93450
14274,CA,93451
14280,CA,93452
14286,CA,93453
14292,CA,93454
14298,CA,93455
14304,CA,93458
14310,CA,93460
14316,CA,93461
14322,CA,93463
14328,CA,93465
14334,CA,93501
14340,CA,93505
14346,CA,93510
14352,CA,93513
14358,CA,93514
14364,CA,93516
14370,CA,93517
14376,CA,93518
14382,CA,93523
14388,CA,93526
14394,CA,93527
14400,CA,93529
14406,CA,93531
14412,CA,93532
14418,CA,93534
14424,CA,93535
14430,CA,93536
14436,CA,93541
14442,CA,93543
14454,CA,93545
14460,CA,93546
14466,CA,93550
14472,CA,93551
14478,CA,93552
14484,CA,93553
14490,CA,93555
14496,CA,93560
14502,CA,93561
14508,CA,93562
14514,CA,93591
14520,CA,93601
14526,CA,93602
14532,CA,93604
14544,CA,93608
14550,CA,93609
14556,CA,93610
14562,CA,93611
14568,CA,93612
14574,CA,93614
14580,CA,93615
14592,CA,93618
14598,CA,93619
14604,CA,93620
14610,CA,93621
14616,CA,93622
14628,CA,93625
14634,CA,93626
14646,CA,93630
14652,CA,93631
14658,CA,93635
14664,CA,93636
14670,CA,93637
14676,CA,93638
14682,CA,93640
14688,CA,93641
14694,CA,93643
14700,CA,93644
14712,CA,93646
14718,CA,93647
14724,CA,93648
14730,CA,93650
14736,CA,93651
14754,CA,93654
14760,CA,93656
14766,CA,93657
14772,CA,93660
14778,CA,93662
14784,CA,93664
14802,CA,93667
14808,CA,93668
14814,CA,93669
14820,CA,93673
14826,CA,93675
14832,CA,93701
14838,CA,93702
14844,CA,93703
14850,CA,93704
14856,CA,93705
14862,CA,93706
14868,CA,93710
14874,CA,93711
14880,CA,93720
14886,CA,93721
14892,CA,93722
14898,CA,93723
14904,CA,93725
14910,CA,93726
14916,CA,93727
14922,CA,93728
14928,CA,93730
14934,CA,93901
14940,CA,93905
14946,CA,93906
14952,CA,93907
14958,CA,93908
14964,CA,93920
14970,CA,93921
14976,CA,93923
14982,CA,93924
14988,CA,93925
14994,CA,93926
15000,CA,93927
15006,CA,93928
15012,CA,93930
15024,CA,93933
15030,CA,93940
15036,CA,93950
15042,CA,93953
15054,CA,93955
15060,CA,93960
15066,CA,93962
15072,CA,94002
15078,CA,94005
15084,CA,94010
15090,CA,94014
15096,CA,94015
15102,CA,94019
15108,CA,94020
15120,CA,94022
15126,CA,94024
15132,CA,94025
15144,CA,94028
15150,CA,94030
15156,CA,94037
15162,CA,94038
15168,CA,94040
15174,CA,94041
15180,CA,94043
15186,CA,94044
15192,CA,94060
15198,CA,94061
15204,CA,94062
15210,CA,94063
15216,CA,94065
15222,CA,94066
15228,CA,94070
15240,CA,94080
15246,CA,94085
15252,CA,94086
15258,CA,94087
15264,CA,94089
15270,CA,94102
15276,CA,94103
15282,CA,94104
15288,CA,94105
15294,CA,94107
15300,CA,94108
15306,CA,94109
15312,CA,94110
15318,CA,94111
15324,CA,94112
15330,CA,94114
15336,CA,94115
15342,CA,94116
15348,CA,94117
15354,CA,94118
15360,CA,94121
15366,CA,94122
15372,CA,94123
15378,CA,94124
15384,CA,94127
15390,CA,94128
15396,CA,94129
15402,CA,94130
15408,CA,94131
15414,CA,94132
15420,CA,94133
15426,CA,94134
15432,CA,94158
15438,CA,94301
15444,CA,94303
15450,CA,94304
15456,CA,94305
15462,CA,94306
15468,CA,94401
15474,CA,94402
15480,CA,94403
15486,CA,94404
15492,CA,94501
15498,CA,94502
15504,CA,94503
15510,CA,94505
15516,CA,94506
15522,CA,94507
15528,CA,94508
15534,CA,94509
15540,CA,94510
15546,CA,94511
15552,CA,94513
15558,CA,94514
15564,CA,94515
15576,CA,94517
15582,CA,94518
15588,CA,94519
15594,CA,94520
15600,CA,94521
15606,CA,94523
15612,CA,94525
15618,CA,94526
15630,CA,94530
15636,CA,94531
15642,CA,94533
15648,CA,94534
15654,CA,94535
15660,CA,94536
15666,CA,94538
15672,CA,94539
15678,CA,94541
15684,CA,94542
15690,CA,94544
15696,CA,94545
15702,CA,94546
15708,CA,94547
15720,CA,94549
15726,CA,94550
15732,CA,94551
15738,CA,94552
15744,CA,94553
15750,CA,94555
15756,CA,94556
15762,CA,94558
15768,CA,94559
15774,CA,94560
15780,CA,94561
15786,CA,94563
15792,CA,94564
15798,CA,94565
15804,CA,94566
15816,CA,94568
15822,CA,94569
15828,CA,94571
15834,CA,94572
15840,CA,94573
15846,CA,94574
15858,CA,94577
15864,CA,94578
15870,CA,94579
15876,CA,94580
15882,CA,94582
15888,CA,94583
15894,CA,94585
15906,CA,94587
15912,CA,94588
15918,CA,94589
15924,CA,94590
15930,CA,94591
15936,CA,94592
15942,CA,94595
15948,CA,94596
15954,CA,94597
15960,CA,94598
15966,CA,94599
15972,CA,94601
15978,CA,94602
15984,CA,94603
15990,CA,94605
15996,CA,94606
16002,CA,94607
16008,CA,94608
16014,CA,94609
16020,CA,94610
16026,CA,94611
16032,CA,94612
16038,CA,94618
16044,CA,94619
16050,CA,94621
16056,CA,94702
16062,CA,94703
16068,CA,94704
16074,CA,94705
16080,CA,94706
16086,CA,94707
16098,CA,94709
16104,CA,94710
16110,CA,94801
16116,CA,94803
16122,CA,94804
16128,CA,94805
16134,CA,94806
16140,CA,94901
16146,CA,94903
16152,CA,94904
16158,CA,94920
16164,CA,94922
16170,CA,94923
16176,CA,94924
16182,CA,94925
16188,CA,94928
16200,CA,94930
16206,CA,94931
16212,CA,94933
16218,CA,94937
16224,CA,94938
16230,CA,94939
16236,CA,94941
16242,CA,94945
16248,CA,94946
16254,CA,94947
16260,CA,94949
16266,CA,94951
16272,CA,94952
16278,CA,94954
16284,CA,94956
16290,CA,94957
16296,CA,94960
16302,CA,94963
16314,CA,94965
16320,CA,94970
16326,CA,94971
16332,CA,94972
16338,CA,94973
16344,CA,95002
16350,CA,95003
16356,CA,95004
16362,CA,95005
16368,CA,95006
16380,CA,95008
16386,CA,95010
16392,CA,95012
16398,CA,95014
16404,CA,95017
16410,CA,95018
16416,CA,95019
16422,CA,95020
16428,CA,95023
16434,CA,95030
16440,CA,95032
16446,CA,95033
16452,CA,95035
16458,CA,95037
16464,CA,95039
16476,CA,95043
16482,CA,95045
16488,CA,95046
16494,CA,95050
16500,CA,95051
16506,CA,95054
16512,CA,95060
16518,CA,95062
16524,CA,95064
16530,CA,95065
16536,CA,95066
16542,CA,95070
16548,CA,95073
16554,CA,95075
16560,CA,95076
16566,CA,95110
16572,CA,95111
16578,CA,95112
16584,CA,95113
16590,CA,95116
16596,CA,95117
16602,CA,95118
16608,CA,95119
16614,CA,95120
16620,CA,95121
16626,CA,95122
16632,CA,95123
16638,CA,95124
16644,CA,95125
16650,CA,95126
16656,CA,95127
16662,CA,95128
16668,CA,95129
16674,CA,95130
16680,CA,95131
16686,CA,95132
16692,CA,95133
16698,CA,95134
16704,CA,95135
16710,CA,95136
16716,CA,95138
16722,CA,95139
16728,CA,95140
16734,CA,95148
