,zip_code,count,latitude,longitude,Price_1,Price_2,Price_3,Price_4,Rating_1,Rating_1.5,Rating_2,Rating_2.5,Rating_3,Rating_3.5,Rating_4,Rating_4.5,Rating_5,count_businesses,city
2280,98357,5,48.36673266580872,-124.6143982936126,3,2,0,0,0,0,0,0,0,1,1,3,0,5,Neah Bay
2281,98358,1,48.0935028746431,-122.72187810391199,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Marrowstone
2282,98359,2,47.42492470388825,-122.5488203503195,0,2,0,0,0,0,0,0,0,1,0,1,0,2,Olalla
2283,98360,15,47.098307245237926,-122.2063486537107,8,7,0,0,1,0,2,0,1,7,3,1,0,15,Orting
2284,98361,6,46.60601065,-121.67149646666667,1,5,0,0,0,0,0,0,0,2,0,3,1,6,Packwood
2285,98362,82,48.11327527955252,-123.41871389700957,41,38,3,0,1,2,2,3,9,19,24,16,6,82,Port Angeles
2286,98363,13,48.10597190875216,-123.58905926205992,4,9,0,0,0,0,0,1,0,3,5,3,1,13,Port Angeles
2287,98364,2,47.85486455,-122.58458705,0,2,0,0,0,0,0,0,1,0,0,1,0,2,Port Gamble
2288,98365,2,47.921142465970505,-122.6920490936275,0,2,0,0,0,0,0,0,0,2,0,0,0,2,Port Ludlow
2289,98366,53,47.527166940692915,-122.62328577434576,20,33,0,0,0,0,1,1,7,16,20,7,1,53,Port Orchard
2290,98367,16,47.49537880904761,-122.65840369560311,6,10,0,0,0,0,0,3,4,6,1,1,1,16,Port Orchard
2291,98368,65,48.10765904487041,-122.76943256900184,23,40,1,1,0,0,0,2,6,14,27,12,4,65,Port Townsend
2292,98370,72,47.74193487809069,-122.64447874473902,40,31,1,0,0,0,4,4,12,13,18,18,3,72,Poulsbo
2293,98371,37,47.202090820737354,-122.29582898128386,14,23,0,0,1,0,0,2,2,11,14,7,0,37,Puyallup
2294,98372,14,47.19230280121722,-122.27991456221405,4,10,0,0,0,0,0,0,1,3,7,2,1,14,Puyallup
2295,98373,61,47.145563829750074,-122.30230581146508,29,31,1,0,1,0,1,9,13,18,12,7,0,61,Puyallup
2296,98374,21,47.12982976207262,-122.29190266185512,10,10,1,0,0,1,1,3,4,6,4,2,0,21,Puyallup
2297,98375,51,47.10362936218654,-122.30775468554577,26,25,0,0,0,4,2,4,13,10,15,2,1,51,Puyallup
2298,98376,4,47.82256634442435,-122.87688180667524,2,2,0,0,0,0,0,0,0,1,1,0,2,4,Quilcene
2299,98377,4,46.53605871026387,-121.96029308422476,1,3,0,0,0,0,0,1,0,0,2,1,0,4,Randle
2300,98380,4,47.617287950811374,-122.83392862518775,3,1,0,0,0,0,0,0,1,0,2,0,1,4,Seabeck
2301,98382,68,48.078442022142184,-123.10790739175897,28,38,2,0,0,1,1,4,9,13,19,17,4,68,Sequim
2302,98383,66,47.65491435586003,-122.6920714631056,19,47,0,0,0,0,0,5,10,18,22,11,0,66,Silverdale
2303,98385,2,47.139355800542845,-122.0980617813565,1,1,0,0,0,0,0,0,1,1,0,0,0,2,South Prairie
2304,98387,35,47.08227106197665,-122.42269150357907,27,8,0,0,0,4,1,3,5,12,7,2,1,35,Spanaway
2305,98388,6,47.17202778774605,-122.599260992834,0,6,0,0,0,0,0,0,1,2,0,2,1,6,Steilacoom
2306,98390,36,47.19743732359742,-122.21229065886956,12,24,0,0,0,1,0,3,3,13,10,5,1,36,Bonney Lake
2307,98391,48,47.16991175022236,-122.15965082039463,23,25,0,0,0,2,4,8,10,5,15,4,0,48,Bonney Lake
2308,98392,4,47.7172230189209,-122.565984222412,1,2,1,0,0,0,0,0,2,1,0,1,0,4,Suquamish
2309,98395,1,47.388607,-122.66548200000001,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Wauna
2310,98396,4,47.104642961181646,-122.04531625463876,2,2,0,0,0,0,0,0,0,1,1,0,2,4,Wilkeson
2311,98402,73,47.254432359757956,-122.44388257149443,21,49,2,1,0,0,0,1,7,13,38,14,0,73,Tacoma
2312,98403,19,47.263126873390945,-122.456616283052,6,13,0,0,0,0,0,0,1,7,5,5,1,19,Tacoma
2313,98404,13,47.20285779754245,-122.42211733913808,9,3,1,0,0,0,0,0,0,2,5,5,1,13,University Place
2314,98405,26,47.25135925850621,-122.46278185125142,12,14,0,0,0,0,0,0,3,5,10,7,1,26,Tacoma
2315,98406,39,47.2575484543362,-122.49268904657892,11,27,1,0,0,0,0,0,2,12,16,9,0,39,Tacoma
2316,98407,26,47.28501016325821,-122.50061330141033,2,24,0,0,0,0,0,0,1,9,9,7,0,26,Tacoma
2317,98408,27,47.197337386463765,-122.45174406853324,12,15,0,0,0,0,1,4,2,8,7,4,1,27,Tacoma
2318,98409,56,47.217623022876566,-122.47533232533978,27,28,1,0,0,0,0,3,8,7,24,11,3,56,Tacoma
2319,98418,15,47.222847302892966,-122.44161893485034,10,5,0,0,0,0,0,0,0,4,6,5,0,15,Tacoma
2320,98421,12,47.24009977682754,-122.42725438321251,4,7,1,0,0,0,0,0,1,0,5,6,0,12,Tacoma
2321,98422,2,47.2914549,-122.39835833067099,1,1,0,0,0,0,0,0,0,1,1,0,0,2,Tacoma
2322,98424,40,47.24180778410767,-122.36199970965154,26,13,1,0,1,4,4,7,6,5,8,4,1,40,Fife
2323,98433,22,47.0937054862591,-122.58897084983472,16,5,1,0,0,0,5,5,6,1,2,2,1,22,Joint Base Lewis-McChord
2324,98438,4,47.184441,-122.47178224999999,3,1,0,0,0,0,1,0,0,1,0,2,0,4,Tacoma
2325,98439,1,47.16525,-122.4844,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Tacoma
2326,98443,1,47.19225,-122.38841000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Tacoma
2327,98444,41,47.14662085196593,-122.44012763262711,18,23,0,0,0,0,0,1,8,14,8,9,1,41,Parkland
2328,98445,6,47.15231780049283,-122.38522709557003,2,4,0,0,0,0,0,0,0,1,0,5,0,6,Tacoma
2329,98446,2,47.096290019600744,-122.3585401084025,2,0,0,0,0,0,0,1,0,1,0,0,0,2,Tacoma
2330,98465,8,47.24553239968271,-122.53702339471525,5,3,0,0,0,0,0,1,1,1,3,2,0,8,Tacoma
2331,98466,41,47.230184037262006,-122.53442337361045,16,25,0,0,0,0,3,7,5,10,13,3,0,41,Fircrest
2332,98467,3,47.209128,-122.51691433333333,2,1,0,0,0,0,0,0,0,0,2,1,0,3,University Place
2333,98498,27,47.16314944728862,-122.54923848092129,16,11,0,0,0,0,2,3,2,11,6,3,0,27,Lakewood
2334,98499,132,47.16493329225072,-122.5022415931005,67,65,0,0,0,4,9,13,19,28,33,24,2,132,Lakewood
2335,98501,101,47.03576775351119,-122.89882826919877,50,47,4,0,0,0,0,0,7,34,32,24,4,101,Olympia
2336,98502,82,47.04491083954308,-122.94076018371311,43,38,1,0,0,1,9,8,13,21,18,11,1,82,Olympia
2337,98503,48,47.0329084768942,-122.81861146392987,23,24,1,0,0,1,0,1,4,14,20,7,1,48,Lacey
