,Unnamed: 0,zip_code,count,latitude,longitude,Price_1,Price_2,Price_3,Price_4,Rating_1,Rating_1.5,Rating_2,Rating_2.5,Rating_3,Rating_3.5,Rating_4,Rating_4.5,Rating_5,count_businesses,city
1605,1605,96041,7,40.55392184239521,-123.18022921603485,4,3,0,0,0,0,0,0,0,1,2,3,1,7,Hayfork
1607,1607,96051,4,40.9189575,-122.392495,2,2,0,0,0,0,0,0,0,0,1,3,0,4,Lakehead
1608,1608,96052,1,40.7075961463653,-122.802107334137,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Lewiston
1609,1609,96055,6,40.03542039603635,-122.11192177137899,5,1,0,0,0,0,0,0,0,1,2,2,1,6,Proberta
1610,1610,96056,4,41.050169725,-121.39946475,1,3,0,0,0,0,0,0,0,0,2,2,0,4,McArthur
1611,1611,96057,9,41.25319120467042,-122.10430440680663,3,5,1,0,0,0,0,0,0,0,2,4,3,9,McCloud
1612,1612,96059,1,40.4333992004395,-121.872032165527,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Manton
1615,1615,96064,3,41.72667861347657,-122.52877721796864,2,1,0,0,0,0,0,0,0,0,0,1,2,3,Montague
1616,1616,96065,1,41.0184466,-121.9093112,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Montgomery Creek
1617,1617,96067,34,41.308918087721636,-122.31356349007109,14,20,0,0,1,1,2,0,2,10,14,3,1,34,Mount Shasta
1618,1618,96073,9,40.55918479127229,-122.23789082423856,5,4,0,0,0,0,0,1,0,1,4,3,0,9,Palo Cedro
1619,1619,96080,66,40.17637702360278,-122.22687004818071,33,31,2,0,0,1,2,8,6,11,22,14,2,66,Red Bluff
1620,1620,96084,1,40.7932193,-121.9434525,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Round Mountain
1622,1622,96087,1,40.5978036454375,-122.487048486523,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Shasta
1623,1623,96088,5,40.50103869401046,-121.95638092886001,1,3,1,0,0,0,0,0,2,1,0,2,0,5,Shingletown
1624,1624,96091,4,40.97890529652782,-122.75006148560351,1,3,0,0,0,0,0,0,0,0,1,3,0,4,Trinity Center
1625,1625,96092,1,39.939234,-122.0463992,0,1,0,0,0,0,0,0,1,0,0,0,0,1,Vina
1626,1626,96093,17,40.72830134123458,-122.93663209446498,11,6,0,0,1,0,0,0,2,2,7,5,0,17,Weaverville
1627,1627,96094,17,41.411168593551935,-122.38237010588236,10,7,0,0,0,2,1,1,3,3,6,0,1,17,Weed
1628,1628,96097,36,41.7217447121852,-122.63924383524652,19,17,0,0,0,0,2,4,2,8,11,7,2,36,Yreka
1630,1630,96101,14,41.48277880133369,-120.5548684055503,8,6,0,0,0,0,1,2,1,3,3,2,2,14,Alturas
1631,1631,96103,16,39.78032602321747,-120.63246616993118,6,9,1,0,0,0,0,0,3,1,7,4,1,16,Graeagle
1632,1632,96104,4,41.527622750000006,-120.1715419,1,3,0,0,0,0,0,0,0,1,1,2,0,4,Cedarville
